id,pokedex_no,P_name,forme,hidden_ability,description1,description2,class,percent_female,pre-evolution
390,390,Chimchar,Chimchar,Iron Fist,,,Chimp Pokémon,0.125,
391,391,Monferno,Monferno,Iron Fist,,,Playful Pokémon,0.125,Chimchar
392,392,Infernape,Infernape,Iron Fist,,,Flame Pokémon,0.125,Monferno
393,393,Piplup,Piplup,Defiant,,,Penguin Pokémon,0.125,
394,394,Prinplup,Prinplup,Defiant,,,Penguin Pokémon,0.125,Piplup
395,395,Empoleon,Empoleon,Defiant,,,Emperor Pokémon,0.125,Prinplup
396,396,Starly,Starly,Reckless,,,Starling Pokémon,0.5,
397,397,Staravia,Staravia,Reckless,,,Starling Pokémon,0.5,Starly
398,398,Staraptor,Staraptor,Reckless,,,Predator Pokémon,0.5,Staravia
399,399,Bidoof,Bidoof,Moody,,,Plump Mouse Pokémon,0.5,
400,400,Bibarel,Bibarel,Moody,,,Beaver Pokémon,0.5,Bidoof
401,401,Kricketot,Kricketot,Run Away,,,Cricket Pokémon,0.5,
402,402,Kricketune,Kricketune,Technician,,,Cricket Pokémon,0.5,Kricketot
403,403,Shinx,Shinx,Guts,,,Flash Pokémon,0.5,
404,404,Luxio,Luxio,Guts,,,Spark Pokémon,0.5,Shinx
405,405,Luxray,Luxray,Guts,,,Gleam Eyes Pokémon,0.5,Luxio
406,406,Budew,Budew,Sheer Force,,,Bud Pokémon,0.5,
407,407,Roserade,Roserade,Sheer Force,,,Bouquet Pokémon,0.5,Roselia
408,408,Cranidos,Cranidos,Soundproof,It lived in jungles around a hundred million years ago. It used its skillful headbutts to combat Aerodactyl.,"In rock layers where Cranidos fossils are found, the fossilized trunks of trees snapped in two are also often found.",Head Butt Pokémon,0.125,
409,409,Rampardos,Rampardos,Soundproof,"The result of repeated headbutts is a skull grown thick and hard. However, its brain has shrunk in size compared with Cranidos’s.",Records exist of a revived fossil that evolved into Rampardos. It proceeded to escape and then destroy a skyscraper with a headbutt.,Head Butt Pokémon,0.125,Cranidos
410,410,Shieldon,Shieldon,Overcoat,"Many fossils of this Pokémon have been found, but almost none have shown signs of damage to the face.","This Pokémon lived in primeval jungles. Few enemies would have been willing to square off against its heavily armored face, so it’s thought.",Shield Pokémon,0.125,
411,411,Bastiodon,Bastiodon,Overcoat,"While it can guard against any sort of attack from the front, it is left without recourse when attacked from behind.",It lived in the same environments as Rampardos. Their fossils have been found together— seemingly from after they’d fought to the finish.,Shield Pokémon,0.125,Shieldon
412,412,Burmy,Burmy (Plant Cloak),Overcoat,,,Bagworm Pokémon,0.5,
413,413,Wormadam,Wormadam (Plant Cloak),Overcoat,,,Bagworm Pokémon,1.0,Burmy
414,414,Mothim,Mothim,Tinted Lens,,,Moth Pokémon,0.0,Burmy
415,415,Combee,Combee,Hustle,,,Tiny Bee Pokémon,0.125,
416,416,Vespiquen,Vespiquen,Unnerve,,,Beehive Pokémon,1.0,Combee
417,417,Pachirisu,Pachirisu,Volt Absorb,,,EleSquirrel Pokémon,0.5,
418,418,Buizel,Buizel,Water Veil,,,Sea Weasel Pokémon,0.5,
419,419,Floatzel,Floatzel,Water Veil,,,Sea Weasel Pokémon,0.5,Buizel
420,420,Cherubi,Cherubi,,,,Cherry Pokémon,0.5,
421,421,Cherrim,Cherrim (Overcast Form),,,,Blossom Pokémon,0.5,Cherubi
422,422,Shellos,Shellos (West Sea),Sand Force,"For the most part, it makes its home along the seashore. Its color and form differ according to its habitat and the quality of its food.","Purple mucus sticks to the hands of anyone who touches it. Take care, as the substance is troublesome to wash off.",Sea Slug Pokémon,0.5,
423,423,Gastrodon,Gastrodon (West Sea),Sand Force,"It has strong regenerative capabilities. Even if parts of it are bitten off by fish Pokémon, it will return to normal within a few hours.","Plankton, invisible to the naked eye, is its main food source. It comes onto the land periodically, but the reason for this is not known.",Sea Slug Pokémon,0.5,Shellos
424,424,Ambipom,Ambipom,Skill Link,,,Long Tail Pokémon,0.5,Aipom
425,425,Drifloon,Drifloon,Flare Boost,Stories go that it grabs the hands of small children and drags them away to the afterlife. It dislikes heavy children.,"If for some reason its body bursts, its soul spills out with a screaming sound.",Balloon Pokémon,0.5,
426,426,Drifblim,Drifblim,Flare Boost,"There was once an incident in which a man took a trip riding a Drifblim, only to go missing.","Even while under careful observation, large flocks of Drifblim flying at dusk will inexplicably disappear from view.",Blimp Pokémon,0.5,Drifloon
427,427,Buneary,Buneary,Limber,,,Rabbit Pokémon,0.5,
428,428,Lopunny,Lopunny,Limber,,,Rabbit Pokémon,0.5,Buneary
429,429,Mismagius,Mismagius,,"It appears as if from nowhere—muttering incantations, placing curses, and giving people terrifying visions.","Mismagius have been known to cast spells to make people fall in love, so some people search for this Pokémon as if their life depended on it.",Magical Pokémon,0.5,Misdreavus
430,430,Honchkrow,Honchkrow,Moxie,"A single cry from this nocturnal Pokémon, and more than a hundred of its Murkrow cronies will assemble.","If its Murkrow cronies fail to catch food for it, or if it feels they have betrayed it, it will hunt them down wherever they are and punish them.",Big Boss Pokémon,0.5,Murkrow
431,431,Glameow,Glameow,Keen Eye,,,Catty Pokémon,0.75,
432,432,Purugly,Purugly,Defiant,,,Tiger Cat Pokémon,0.75,Glameow
433,433,Chingling,Chingling,,,,Bell Pokémon,0.5,
434,434,Stunky,Stunky,Keen Eye,,,Skunk Pokémon,0.5,
435,435,Skuntank,Skuntank,Keen Eye,,,Skunk Pokémon,0.5,Stunky
436,436,Bronzor,Bronzor,Heavy Metal,,,Bronze Pokémon,,
437,437,Bronzong,Bronzong,Heavy Metal,,,Bronze Bell Pokémon,,Bronzor
438,438,Bonsly,Bonsly,Rattled,"It does not deal well with water, so it lives in dry locales. Since its surroundings tend to lack greenery, it stands out noticeably.","From its eyes, it can expel excess moisture from its body. This liquid is similar in composition to human sweat.",Bonsai Pokémon,0.5,
439,439,Mime Jr.,Mime Jr.,Technician,,,Mime Pokémon,0.5,
440,440,Happiny,Happiny,Friend Guard,"It carries a round white rock in its belly pouch. If it gets along well with someone, it will sometimes give that person the rock.","It’s too small to lay eggs yet. As a surrogate, it searches out round white stones.",Playhouse Pokémon,1.0,
441,441,Chatot,Chatot,Big Pecks,,,Music Note Pokémon,0.5,
442,442,Spiritomb,Spiritomb,Infiltrator,,,Forbidden Pokémon,0.5,
443,443,Gible,Gible,Rough Skin,"It lives in caves warmed by geothermal heat. Even so, when the weather gets cold, it will huddle close with others of its kind.","It skulks in caves, and when prey or an enemy passes by, it leaps out and chomps them. The force of its attack sometimes chips its teeth.",Land Shark Pokémon,0.5,
444,444,Gabite,Gabite,Rough Skin,"In rare cases, it molts and sheds its scales. Medicine containing its scales as an ingredient will make a weary body feel invigorated.","Shiny objects are its passion. It can be found in its cave, scarcely moving, its gaze fixed on the jewels it’s amassed or Carbink it has caught.",Cave Pokémon,0.5,Gible
445,445,Garchomp,Garchomp,Rough Skin,It can fly at speeds rivaling jet planes. It dives into flocks of bird Pokémon and gulps the entire flock down whole.,The protuberances on its head serve as sensors. It can even detect distant prey.,Mach Pokémon,0.5,Gabite
446,446,Munchlax,Munchlax,Gluttony,"It needs to consume its own weight in food every day. As far as flavor is concerned, it’s indifferent.","When it finds something that looks like it might be edible, it goes right ahead and swallows it whole. That’s why it gets fatter day by day.",Big Eater Pokémon,0.125,
447,447,Riolu,Riolu,Prankster,"It can discern the physical and emotional states of people, Pokémon, and other natural things from the shape of their aura waves.","It’s tough enough to run right through the night, and it’s also a hard worker, but it’s still just a youngster.",Emanation Pokémon,0.125,
448,448,Lucario,Lucario,Justified,"Not only does it perceive auras, but it has also gained the power to control them. It employs them in battle.",They can detect the species of a living being— and its emotions—from over half a mile away. They control auras and hunt their prey in packs.,Aura Pokémon,0.125,Riolu
449,449,Hippopotas,Hippopotas,Sand Force,,,Hippo Pokémon,0.5,
450,450,Hippowdon,Hippowdon,Sand Force,,,Heavyweight Pokémon,0.5,Hippopotas
451,451,Skorupi,Skorupi,Keen Eye,,,Scorpion Pokémon,0.5,
452,452,Drapion,Drapion,Keen Eye,,,Ogre Scorpion Pokémon,0.5,Skorupi
453,453,Croagunk,Croagunk,Poison Touch,,,Toxic Mouth Pokémon,0.5,
454,454,Toxicroak,Toxicroak,Poison Touch,,,Toxic Mouth Pokémon,0.5,Croagunk
455,455,Carnivine,Carnivine,,,,Bug Catcher Pokémon,0.5,
456,456,Finneon,Finneon,Water Veil,"It absorbs sunlight with the pink areas of its skin, which then shine. This appears to be a form of camouflage.","Its double tail fins propel its energetic jumps. When it breaks the surface of the sea, Wingull swoop down to grab it on the fly.",Wing Fish Pokémon,0.5,
457,457,Lumineon,Lumineon,Water Veil,"With its shining light, it lures its prey close. However, the light also happens to attract ferocious fish Pokémon—its natural predators.",This deep-sea Pokémon lives at the bottom of the sea. Its fins haul it over the seabed in search of its favorite food—Starmie.,Neon Pokémon,0.5,Finneon
458,458,Mantyke,Mantyke,Water Veil,,,Kite Pokémon,0.5,
459,459,Snover,Snover,Soundproof,,,Frost Tree Pokémon,0.5,
460,460,Abomasnow,Abomasnow,Soundproof,,,Frost Tree Pokémon,0.5,Snover
461,461,Weavile,Weavile,Pickpocket,"They travel in groups of four or five, leaving signs for one another on trees and rocks. They bring down their prey with coordinated attacks.","They dwell in cold places. This Pokémon’s main food source in Alola is Vulpix and Sandshrew, which they carefully divide among their group.",Sharp Claw Pokémon,0.5,Sneasel
462,462,Magnezone,Magnezone,Analytic,Three units generate magnetism. There have been many mistaken reports of UFO sightings when Magnezone flies through the night sky.,"As it zooms through the sky, this Pokémon seems to be receiving signals of unknown origin, while transmitting signals of unknown purpose.",Magnet Area Pokémon,0.5,Magneton
463,463,Lickilicky,Lickilicky,Cloud Nine,,,Licking Pokémon,0.5,Lickitung
464,464,Rhyperior,Rhyperior,Reckless,,,Drill Pokémon,0.5,Rhydon
465,465,Tangrowth,Tangrowth,Regenerator,,,Vine Pokémon,0.5,Tangela
466,466,Electivire,Electivire,Vital Spirit,It pushes the tips of its tails against its foes and then lets loose a high-voltage current. Its foes are burned to a crisp in an instant.,"When it gets excited, it thumps its chest. With every thud, thunder roars and electric sparks shower all around.",Thunderbolt Pokémon,0.5,Electabuzz
467,467,Magmortar,Magmortar,Vital Spirit,"They dwell in volcanic craters. According to what is known, a single pair of male and female Magmortar lives in one volcano.","From its arm, it launches fireballs hotter than 3,500 degrees Fahrenheit. Its arm starts to melt when it fires a whole barrage.",Blast Pokémon,0.5,Magmar
468,468,Togekiss,Togekiss,Super Luck,,,Jubilee Pokémon,0.125,Togetic
469,469,Yanmega,Yanmega,Frisk,,,Ogre Darner Pokémon,0.5,Yanma
470,470,Leafeon,Leafeon,Chlorophyll,Its cellular composition is closer to that of a plant than an animal. It uses photosynthesis to produce its energy supply without eating food.,"The younger they are, the more they smell like fresh grass. With age, their fragrance takes on the odor of fallen leaves.",Verdant Pokémon,0.125,Eevee
471,471,Glaceon,Glaceon,Ice Body,"It can control its body temperature at will. This enables it to freeze the moisture in the atmosphere, creating flurries of diamond dust.","It freezes its fur into icicles, spiky and sharp, and tackles its prey.",Fresh Snow Pokémon,0.125,Eevee
472,472,Gliscor,Gliscor,Poison Heal,,,Fang Scorpion Pokémon,0.5,Gligar
473,473,Mamoswine,Mamoswine,Thick Fat,,,Twin Tusk Pokémon,0.5,Piloswine
474,474,Porygon-Z,Porygon-Z,Analytic,"In order to create a more advanced Pokémon, an additional program was installed, but apparently it contained a defect that makes it move oddly.","Its program was modified to facilitate extra-dimensional activities, but that led to noticeably strange behavior.",Virtual Pokémon,,Porygon2
475,475,Gallade,Gallade,Justified,,,Blade Pokémon,0.0,Kirlia
476,476,Probopass,Probopass,Sand Force,It radiates such a powerful magnetic field that nearby electrical appliances become unusable.,"The main body controls three mobile units called Mini-Noses, which it maneuvers to catch prey.",Compass Pokémon,0.5,Nosepass
477,477,Dusknoir,Dusknoir,Frisk,,,Gripper Pokémon,0.5,Dusclops
478,478,Froslass,Froslass,Cursed Body,"When it finds humans or Pokémon it likes, it freezes them and takes them to its chilly den, where they become decorations.","The soul of a woman lost on a snowy mountain possessed an icicle, becoming this Pokémon. The food it most relishes is the souls of men.",Snow Land Pokémon,1.0,Snorunt
479,479,Rotom,Rotom (Rotom),,,,Plasma Pokémon,,
480,480,Uxie,Uxie,,,,Knowledge Pokémon,,
481,481,Mesprit,Mesprit,,,,Emotion Pokémon,,
482,482,Azelf,Azelf,,,,Willpower Pokémon,,
483,483,Dialga,Dialga,Telepathy,,,Temporal Pokémon,,
484,484,Palkia,Palkia,Telepathy,,,Spatial Pokémon,,
485,485,Heatran,Heatran,Flame Body,,,Lava Dome Pokémon,0.5,
486,486,Regigigas,Regigigas,,,,Colossal Pokémon,,
487,487,Giratina,Giratina (Altered Forme),Telepathy,,,Renegade Pokémon,,
488,488,Cresselia,Cresselia,,,,Lunar Pokémon,,
489,489,Phione,Phione,,,,Sea Drifter Pokémon,,
490,490,Manaphy,Manaphy,,,,Seafaring Pokémon,,
491,491,Darkrai,Darkrai,,,,Pitch-Black Pokémon,,
492,492,Shaymin,Shaymin (Land Forme),,,,Gratitude Pokémon,,
493,493,Arceus,Arceus (Normal),,,,Alpha Pokémon,,
494,494,Victini,Victini,,,,Victory Pokémon,1.0,
495,495,Snivy,Snivy,Contrary,,,Grass Snake Pokémon,0.125,
496,496,Servine,Servine,Contrary,,,Grass Snake Pokémon,0.125,Snivy
497,497,Serperior,Serperior,Contrary,,,Regal Pokémon,0.125,Servine
498,498,Tepig,Tepig,Thick Fat,,,Fire Pig Pokémon,0.125,
499,499,Pignite,Pignite,Thick Fat,,,Fire Pig Pokémon,0.125,Tepig
500,500,Emboar,Emboar,Reckless,,,Mega Fire Pig Pokémon,0.125,Pignite
501,501,Oshawott,Oshawott,Shell Armor,,,Sea Otter Pokémon,0.125,
502,502,Dewott,Dewott,Shell Armor,,,Discipline Pokémon,0.125,Oshawott
503,503,Samurott,Samurott,Shell Armor,,,Formidable Pokémon,0.125,Dewott
504,504,Patrat,Patrat,Analytic,,,Scout Pokémon,0.5,
505,505,Watchog,Watchog,Analytic,,,Lookout Pokémon,0.5,Patrat
506,506,Lillipup,Lillipup,Run Away,"Because it doesn’t yelp, it’s extremely popular with Trainers who live in apartment buildings.","The long fur surrounding its face functions as radar, enabling it to probe the condition of its battle opponents.",Puppy Pokémon,0.5,
507,507,Herdier,Herdier,Scrappy,Its dense black fur grows continuously. The high cost of keeping its hard fur properly groomed makes this a troublesome Pokémon to train.,"This Pokémon obeys its master’s orders faithfully. However, it refuses to listen to anything said by a person it doesn’t respect.",Loyal Dog Pokémon,0.5,Lillipup
508,508,Stoutland,Stoutland,Scrappy,"Intelligent, good-natured, and valiant, it’s a trustworthy partner on rescue teams.","With this wise Pokémon, there could be no concern that it would ever attack people. Some parents even trust it to babysit.",Big-Hearted Pokémon,0.5,Herdier
509,509,Purrloin,Purrloin,Prankster,,,Devious Pokémon,0.5,
510,510,Liepard,Liepard,Prankster,,,Cruel Pokémon,0.5,Purrloin
511,511,Pansage,Pansage,Overgrow,,,Grass Monkey Pokémon,0.125,
512,512,Simisage,Simisage,Overgrow,,,Thorn Monkey Pokémon,0.125,Pansage
513,513,Pansear,Pansear,Blaze,,,High Temp Pokémon,0.125,
514,514,Simisear,Simisear,Blaze,,,Ember Pokémon,0.125,Pansear
515,515,Panpour,Panpour,Torrent,,,Spray Pokémon,0.125,
516,516,Simipour,Simipour,Torrent,,,Geyser Pokémon,0.125,Panpour
517,517,Munna,Munna,Telepathy,,,Dream Eater Pokémon,0.5,
518,518,Musharna,Musharna,Telepathy,,,Drowsing Pokémon,0.5,Munna
519,519,Pidove,Pidove,Rivalry,,,Tiny Pigeon Pokémon,0.5,
520,520,Tranquill,Tranquill,Rivalry,,,Wild Pigeon Pokémon,0.5,Pidove
521,521,Unfezant,Unfezant,Rivalry,,,Proud Pokémon,0.5,Tranquill
522,522,Blitzle,Blitzle,Sap Sipper,,,Electrified Pokémon,0.5,
523,523,Zebstrika,Zebstrika,Sap Sipper,,,Thunderbolt Pokémon,0.5,Blitzle
524,524,Roggenrola,Roggenrola,Sand Force,"Born deep within the ground, it compares itself with similar species, such as Geodude and Carbink, to settle which has the hardest body.","The hexagonal cavity is its ear. It walks in the direction of sounds it hears, but if the sounds cease, it panics and topples over.",Mantle Pokémon,0.5,
525,525,Boldore,Boldore,Sand Force,Its orange crystal is a mass of energy. Just one crystal fragment would provide enough fuel for a hundred dump trucks.,"It explores caves in search of underground water. It’s not comfortable around water, so this Pokémon takes great care in lapping it up.",Ore Pokémon,0.5,Roggenrola
526,526,Gigalith,Gigalith,Sand Force,"The blasts of energy it makes from sunbeams have terrifying power. However, it’s not able to fire its blasts at night or on rainy days.","Known for its hefty horsepower, this Pokémon is a popular partner for construction workers.",Compressed Pokémon,0.5,Boldore
527,527,Woobat,Woobat,Simple,,,Bat Pokémon,0.5,
528,528,Swoobat,Swoobat,Simple,,,Courting Pokémon,0.5,Woobat
529,529,Drilbur,Drilbur,Mold Breaker,,,Mole Pokémon,0.5,
530,530,Excadrill,Excadrill,Mold Breaker,,,Subterrene Pokémon,0.5,Drilbur
531,531,Audino,Audino,Klutz,,,Hearing Pokémon,0.5,
532,532,Timburr,Timburr,Iron Fist,,,Muscular Pokémon,0.25,
533,533,Gurdurr,Gurdurr,Iron Fist,,,Muscular Pokémon,0.25,Timburr
534,534,Conkeldurr,Conkeldurr,Iron Fist,,,Muscular Pokémon,0.25,Gurdurr
535,535,Tympole,Tympole,Water Absorb,,,Tadpole Pokémon,0.5,
536,536,Palpitoad,Palpitoad,Water Absorb,,,Vibration Pokémon,0.5,Tympole
537,537,Seismitoad,Seismitoad,Water Absorb,,,Vibration Pokémon,0.5,Palpitoad
538,538,Throh,Throh,Mold Breaker,,,Judo Pokémon,0.0,
539,539,Sawk,Sawk,Mold Breaker,,,Karate Pokémon,0.0,
540,540,Sewaddle,Sewaddle,Overcoat,,,Sewing Pokémon,0.5,
541,541,Swadloon,Swadloon,Overcoat,,,Leaf-Wrapped Pokémon,0.5,Sewaddle
542,542,Leavanny,Leavanny,Overcoat,,,Nurturing Pokémon,0.5,Swadloon
543,543,Venipede,Venipede,Speed Boost,,,Centipede Pokémon,0.5,
544,544,Whirlipede,Whirlipede,Speed Boost,,,Curlipede Pokémon,0.5,Venipede
545,545,Scolipede,Scolipede,Speed Boost,,,Megapede Pokémon,0.5,Whirlipede
546,546,Cottonee,Cottonee,Chlorophyll,"When it finds others of its kind, they all stick together. When enough of them have collected, the mass resembles a cumulonimbus cloud.","Pillows and beds stuffed with cotton exhaled by Cottonee are soft and puffy, light and airy— altogether top quality.",Cotton Puff Pokémon,0.5,
547,547,Whimsicott,Whimsicott,Chlorophyll,"It rides on the wind and slips into people’s homes. After it has turned a room into a cotton- filled mess, it giggles to itself and takes off.","This Pokémon appears, riding upon the wind. But if the wind gusts up, it’ll blow the cotton on this Pokémon’s head clean off.",Windveiled Pokémon,0.5,Cottonee
548,548,Petilil,Petilil,Leaf Guard,"Although the leaves on its head are bitter enough to cause dizziness, they provide relief from weariness—even more so when boiled.","By pruning the leaves on its head with regularity, this Pokémon can be grown into a fine plump shape.",Bulb Pokémon,1.0,
549,549,Lilligant,Lilligant,Leaf Guard,"No matter how much time and money is spent raising it, its flowers are the most beautiful when they bloom in the wild.","As soon as it finds a male to be its partner, the beautiful flower on its head darkens, droops, and withers away.",Flowering Pokémon,1.0,Petilil
550,550,Basculin,Basculin (Red-Striped Form),Mold Breaker,,,Hostile Pokémon,0.5,
551,551,Sandile,Sandile,Anger Point,It submerges itself in sand and moves as if swimming. This wise behavior keeps its enemies from finding it and maintains its temperature.,It conceals itself in the sand and chomps down on the legs of any prey that unwarily walk over it. Its favorite food is Trapinch.,Desert Croc Pokémon,0.5,
552,552,Krokorok,Krokorok,Anger Point,"They move in groups of a few individuals. A female is often the leader of the group, and the males will gather food.","Thanks to the special membrane covering its eyes, it can see its surroundings clearly, even in the middle of the night.",Desert Croc Pokémon,0.5,Sandile
553,553,Krookodile,Krookodile,Anger Point,"Its unique faculty of sight can detect small prey more than 30 miles away, even in the midst of a sandstorm.","After clamping down with its powerful jaws, it twists its body around to rip its prey in half.",Intimidation Pokémon,0.5,Krokorok
554,554,Darumaka,Darumaka,Inner Focus,,,Zen Charm Pokémon,0.5,
555,555,Darmanitan,Darmanitan (Standard Mode),Zen Mode,,,Blazing Pokémon,0.5,Darumaka
556,556,Maractus,Maractus,Storm Drain,,,Cactus Pokémon,0.5,
557,557,Dwebble,Dwebble,Weak Armor,,,Rock Inn Pokémon,0.5,
558,558,Crustle,Crustle,Weak Armor,,,Stone Home Pokémon,0.5,Dwebble
559,559,Scraggy,Scraggy,Intimidate,,,Shedding Pokémon,0.5,
560,560,Scrafty,Scrafty,Intimidate,,,Hoodlum Pokémon,0.5,Scraggy
561,561,Sigilyph,Sigilyph,Tinted Lens,,,Avianoid Pokémon,0.5,
562,562,Yamask,Yamask,,,,Spirit Pokémon,0.5,
563,563,Cofagrigus,Cofagrigus,,,,Coffin Pokémon,0.5,Yamask
564,564,Tirtouga,Tirtouga,Swift Swim,"Based on studies of its skeletal structure, it can apparently dive to ocean depths of over half a mile.","Reputed to be the ancestor of most turtle Pokémon, it lived in warm seas approximately a hundred million years ago.",Prototurtle Pokémon,0.125,
565,565,Carracosta,Carracosta,Swift Swim,It constructed its sturdy shell by crunching and swallowing the hard shells or bones of its prey.,"Active both on land and in the sea, this Pokémon drags its land-based prey into the water to finish it off.",Prototurtle Pokémon,0.125,Tirtouga
566,566,Archen,Archen,,It is the ancestor of all bird Pokémon. Archen itself could not actually fly but moved by hopping from treetop to treetop.,"To all appearances flightless, it was able to glide down from tall treetops to snag its prey.",First Bird Pokémon,0.125,
567,567,Archeops,Archeops,,"Although apparently able to fly, they tended to run along the ground, averaging speeds of roughly 25 mph.","They hunted in flocks. When one Archeops had the prey cornered, another would swoop on it.",First Bird Pokémon,0.125,Archen
568,568,Trubbish,Trubbish,Aftermath,"Unsanitary places are what they like best. They can be spotted in Alola, often with Grimer in hot pursuit.",It gorges on trash until its stomach is full. Then it belches toxic gas. An unlucky whiff of gas will put a person in the hospital.,Trash Bag Pokémon,0.5,
569,569,Garbodor,Garbodor,Aftermath,"Beware the poisonous liquid it shoots from its right arm. If even a little of it gets on you, you’ll experience the effects of the unidentified toxin.","For a time, their numbers increased explosively in Alola. Since the arrival of Grimer, their population has decreased dramatically.",Trash Heap Pokémon,0.5,Trubbish
570,570,Zorua,Zorua,,,,Tricky Fox Pokémon,0.125,
571,571,Zoroark,Zoroark,,,,Illusion Fox Pokémon,0.125,Zorua
572,572,Minccino,Minccino,Skill Link,,,Chinchilla Pokémon,0.5,
573,573,Cinccino,Cinccino,Skill Link,,,Scarf Pokémon,0.5,Minccino
574,574,Gothita,Gothita,Shadow Tag,,,Fixation Pokémon,0.5,
575,575,Gothorita,Gothorita,Shadow Tag,,,Manipulate Pokémon,0.5,Gothita
576,576,Gothitelle,Gothitelle,Shadow Tag,,,Astral Body Pokémon,0.5,Gothorita
577,577,Solosis,Solosis,Regenerator,,,Cell Pokémon,0.5,
578,578,Duosion,Duosion,Regenerator,,,Mitosis Pokémon,0.5,Solosis
579,579,Reuniclus,Reuniclus,Regenerator,,,Multiplying Pokémon,0.5,Duosion
580,580,Ducklett,Ducklett,Hydration,,,Water Bird Pokémon,0.5,
581,581,Swanna,Swanna,Hydration,,,White Bird Pokémon,0.5,Ducklett
582,582,Vanillite,Vanillite,Weak Armor,"Born of an icicle, this Pokémon uses its frosty breath to make ice crystals, causing snow to fall.",It feels pleasantly cool when embraced. This Pokémon is treasured by households in warm regions.,Fresh Snow Pokémon,0.5,
583,583,Vanillish,Vanillish,Weak Armor,"Hot days cause its body to melt. It can be restored by refreezing it, but the process leaves its body slightly warped.","This Pokémon has existed since the Ice Age. It controls particles of ice, freezes its opponents, and then shatters them with a headbutt.",Icy Snow Pokémon,0.5,Vanillite
584,584,Vanilluxe,Vanilluxe,Weak Armor,"Each of its two heads has a brain, and when they are in agreement, it attacks its enemies by exhaling a violent blizzard.","Even if it loses one of its heads, it can live relatively problem-free. It makes snow clouds inside its body.",Snowstorm Pokémon,0.5,Vanillish
585,585,Deerling,Deerling (Spring Form),Serene Grace,,,Season Pokémon,0.5,
586,586,Sawsbuck,Sawsbuck (Spring Form),Serene Grace,,,Season Pokémon,0.5,Deerling
587,587,Emolga,Emolga,Motor Drive,"It glides using its cape-like membrane. Electrical energy scatters from it, shocking its friends and foes alike.",It grills berries and bug Pokémon with electric shocks and makes a meal of them. It usually nests in the holes gouged in trees by Pikipek.,Sky Squirrel Pokémon,0.5,
588,588,Karrablast,Karrablast,No Guard,,,Clamping Pokémon,0.5,
589,589,Escavalier,Escavalier,Overcoat,,,Cavalry Pokémon,0.5,Karrablast
590,590,Foongus,Foongus,Regenerator,,,Mushroom Pokémon,0.5,
591,591,Amoonguss,Amoonguss,Regenerator,,,Mushroom Pokémon,0.5,Foongus
592,592,Frillish,Frillish,Damp,,,Floating Pokémon,0.5,
593,593,Jellicent,Jellicent,Damp,,,Floating Pokémon,0.5,Frillish
594,594,Alomomola,Alomomola,Regenerator,It uses its special mucus to close the wounds of injured Pokémon. The reason for this behavior remains unknown.,They float upon the open sea. Many water Pokémon gather in the area around Alomomola.,Caring Pokémon,0.5,
595,595,Joltik,Joltik,Swarm,,,Attaching Pokémon,0.5,
596,596,Galvantula,Galvantula,Swarm,,,EleSpider Pokémon,0.5,Joltik
597,597,Ferroseed,Ferroseed,,,,Thorn Seed Pokémon,0.5,
598,598,Ferrothorn,Ferrothorn,Anticipation,,,Thorn Pod Pokémon,0.5,Ferroseed
599,599,Klink,Klink,Clear Body,,,Gear Pokémon,0.5,
600,600,Klang,Klang,Clear Body,,,Gear Pokémon,0.5,Klink
601,601,Klinklang,Klinklang,Clear Body,,,Gear Pokémon,0.5,Klang
602,602,Tynamo,Tynamo,,,,EleFish Pokémon,0.5,
603,603,Eelektrik,Eelektrik,,,,EleFish Pokémon,0.5,Tynamo
604,604,Eelektross,Eelektross,,,,EleFish Pokémon,0.5,Eelektrik
605,605,Elgyem,Elgyem,Analytic,,,Cerebral Pokémon,0.5,
606,606,Beheeyem,Beheeyem,Analytic,,,Cerebral Pokémon,0.5,Elgyem
607,607,Litwick,Litwick,Infiltrator,,,Candle Pokémon,0.5,
608,608,Lampent,Lampent,Infiltrator,,,Lamp Pokémon,0.5,Litwick
609,609,Chandelure,Chandelure,Infiltrator,,,Luring Pokémon,0.5,Lampent
610,610,Axew,Axew,Unnerve,,,Tusk Pokémon,0.5,
611,611,Fraxure,Fraxure,Unnerve,,,Axe Jaw Pokémon,0.5,Axew
612,612,Haxorus,Haxorus,Unnerve,,,Axe Jaw Pokémon,0.5,Fraxure
613,613,Cubchoo,Cubchoo,Rattled,,,Chill Pokémon,0.5,
614,614,Beartic,Beartic,Swift Swim,,,Freezing Pokémon,0.5,Cubchoo
615,615,Cryogonal,Cryogonal,,,,Crystallizing Pokémon,,
616,616,Shelmet,Shelmet,Overcoat,,,Snail Pokémon,0.5,
617,617,Accelgor,Accelgor,Unburden,,,Shell Out Pokémon,0.5,Shelmet
618,618,Stunfisk,Stunfisk,Sand Veil,,,Trap Pokémon,0.5,
619,619,Mienfoo,Mienfoo,Reckless,,,Martial Arts Pokémon,0.5,
620,620,Mienshao,Mienshao,Reckless,,,Martial Arts Pokémon,0.5,Mienfoo
621,621,Druddigon,Druddigon,Mold Breaker,,,Cave Pokémon,0.5,
622,622,Golett,Golett,No Guard,,,Automaton Pokémon,,
623,623,Golurk,Golurk,No Guard,,,Automaton Pokémon,,Golett
624,624,Pawniard,Pawniard,Pressure,,,Sharp Blade Pokémon,0.5,
